,geo,time,child_mortality_0_5_year_olds_dying_per_1000_born
573,ago,2072,22.62
574,ago,2073,22.28
575,ago,2074,21.95
576,ago,2075,21.63
577,ago,2076,21.33
578,ago,2077,21.04
579,ago,2078,20.76
580,ago,2079,20.48
581,ago,2080,20.22
582,ago,2081,19.97
583,ago,2082,19.72
584,ago,2083,19.48
585,ago,2084,19.24
586,ago,2085,19.0
587,ago,2086,18.78
588,ago,2087,18.55
589,ago,2088,18.34
590,ago,2089,18.12
591,ago,2090,17.92
592,ago,2091,17.72
593,ago,2092,17.52
594,ago,2093,17.33
595,ago,2094,17.15
596,ago,2095,16.96
597,ago,2096,16.78
598,ago,2097,16.6
599,ago,2098,16.43
600,ago,2099,16.26
601,ago,2100,16.26
602,alb,1800,375.2
603,alb,1801,375.2
604,alb,1802,375.2
605,alb,1803,375.2
606,alb,1804,375.2
607,alb,1805,375.2
608,alb,1806,375.2
609,alb,1807,375.2
610,alb,1808,375.2
611,alb,1809,375.2
612,alb,1810,375.2
613,alb,1811,375.2
614,alb,1812,375.2
615,alb,1813,375.2
616,alb,1814,375.2
617,alb,1815,375.2
618,alb,1816,375.2
619,alb,1817,375.2
620,alb,1818,375.2
621,alb,1819,375.2
622,alb,1820,375.2
623,alb,1821,375.2
624,alb,1822,375.2
625,alb,1823,375.2
626,alb,1824,375.2
627,alb,1825,375.2
628,alb,1826,375.2
629,alb,1827,375.2
630,alb,1828,375.2
631,alb,1829,375.2
632,alb,1830,375.2
633,alb,1831,375.2
634,alb,1832,375.2
635,alb,1833,375.2
636,alb,1834,375.2
637,alb,1835,375.2
638,alb,1836,375.2
639,alb,1837,375.2
640,alb,1838,375.2
641,alb,1839,375.2
642,alb,1840,375.2
643,alb,1841,375.2
644,alb,1842,375.2
645,alb,1843,375.2
646,alb,1844,375.2
647,alb,1845,375.2
648,alb,1846,375.2
649,alb,1847,375.2
650,alb,1848,375.2
651,alb,1849,375.2
652,alb,1850,375.2
653,alb,1851,375.2
654,alb,1852,375.2
655,alb,1853,375.2
656,alb,1854,375.2
657,alb,1855,375.2
